,Title,City,Area,Size,Rooms,Bedrooms,Bathrooms,Price,Features,Property Type,Condition,Age,Floor,Orientation
0,Apartment for rent in Casablanca Finance City. 2 beautiful rooms.,Casablanca,Casablanca Finance City,120,3,2,2,"12,500 DH",,Apartment,Good condition,,,
1,"Apartment for rent in Casablanca Finance City. 3 large living areas. No Lift, Large terrace.",Casablanca,Casablanca Finance City,240,4,3,3,"23,000 DH","Garden, Terrace, Garage, Elevator, Pool, Concierge, Exterior facade, Moroccan lounge, Satellite dish, Fireplace, Air conditioning, Heating, Security system, Double glazing, Reinforced Door, Equipped kitchen, Fridge, Oven, Washing machine, Microwave, Internet, Pets allowed",Apartment,New,,,
2,"Apartment for rent in Casablanca Finance City. 2 beautiful rooms. Caretaker service available, air conditioning.",Casablanca,Casablanca Finance City,67,2,,2,"9,500 DH","Garden, Terrace, Garage, Elevator, Pool, Concierge, Box room, Furnished, Exterior facade, European lounge, Satellite dish, Air conditioning, Heating, Security system, Double glazing, Reinforced Door, Equipped kitchen, Fridge, Oven, TV, Washing machine, Microwave, Internet",Apartment,New,,,
3,Great apartment for rent in Bourgogne Ouest. 4 large living areas. Storage unit.,Casablanca,Bourgogne Ouest,110,4,2,2,"10,000 DH","Terrace, Garage, Elevator, Concierge, Furnished, Exterior facade, Moroccan lounge, European lounge, Air conditioning, Security system, Equipped kitchen, Fridge, Oven, TV, Washing machine, Microwave, Internet, Pets allowed",Apartment,Good condition,5-10 years old,Marble,
4,"Apartment for rent in Ain Diab Extension. 4 rooms. Sea view, central heating.",Casablanca,Ain Diab Extension,170,4,3,3,"17,000 DH
												

													Decreased by
													1,000 DH","Garden, Terrace, Garage, Elevator, Sea views, Pool, Concierge, Box room, Exterior facade, European lounge, Fireplace, Air conditioning, Heating, Security system, Double glazing, Reinforced Door, Equipped kitchen, Oven, Pets allowed",Apartment,New,Less than 1 year,Marble,South
5,"Very nice apartment for rent in Californie. 2 lovely rooms. Gardeners, Large terrace.",Casablanca,Californie,120,3,2,2,"12,000 DH","Garden, Terrace, Garage, Elevator, Pool, Concierge, Air conditioning, Heating, Security system, Double glazing, Reinforced Door, Equipped kitchen, Fridge, Oven, Washing machine",Apartment,New,Less than 1 year,1st,Marble
6,Rent this apartment in Racine. 2 lovely rooms.,Casablanca,Racine,110,3,2,2,"10,000 DH",,Apartment,Good condition,,,
7,Flat for rent in Ain Diab Extension. 3 rooms. Storage unit.,Casablanca,Ain Diab Extension,200,5,3,3,"23,000 DH","Garden, Terrace, Garage, Elevator, Sea views, Concierge, Box room, Furnished, Exterior facade, European lounge, Satellite dish, Fireplace, Air conditioning, Heating, Security system, Equipped kitchen, Fridge, Oven, TV, Washing machine, Microwave, Internet, Pets allowed",Apartment,Good condition,10-20 years old,Marble,West
8,Apartment for rent in Casablanca Finance City. Total area 170 m². Furnished.,Casablanca,Casablanca Finance City,170,4,3,3,"19,000 DH","Garden, Terrace, Garage, Elevator, Concierge, Furnished, Exterior facade, European lounge, Satellite dish, Air conditioning, Heating, Security system, Double glazing, Reinforced Door, Equipped kitchen, Fridge, Oven, TV, Washing machine, Microwave, Internet, Pets allowed",Apartment,New,,,
9,Rent this apartment in Ferme Bretonne (Hay Arraha). 2 large rooms. Well decorated.,Casablanca,Les princesses,56,2,,,"7,500 DH","Garden, Terrace, Garage, Elevator, Concierge, Furnished, Exterior facade, European lounge, Satellite dish, Air conditioning, Heating, Security system, Double glazing, Reinforced Door, Equipped kitchen, Fridge, Oven, TV, Washing machine, Microwave, Internet, Pets allowed",Apartment,New,,,
10,Apartment for rent in Ferme Bretonne (Hay Arraha). Large area 150 m². New furniture.,Casablanca,Ferme Bretonne (Hay Arraha),150,4,3,3,"20,000 DH","Terrace, Garage, Elevator, Concierge, Furnished, Exterior facade, European lounge, Satellite dish, Air conditioning, Heating, Security system, Double glazing, Reinforced Door, Equipped kitchen, Fridge, Oven, TV, Washing machine, Microwave, Internet, Pets allowed",Apartment,New,,,
11,Apartment for rent in Ain Diab. 2 lovely rooms. Well furnished.,Casablanca,Ain Diab,140,3,2,2,"21,000 DH","Garden, Terrace, Garage, Elevator, Concierge, Furnished, Exterior facade, Moroccan lounge, European lounge, Satellite dish, Air conditioning, Heating, Security system, Equipped kitchen, Fridge, Oven, TV, Washing machine, Microwave, Internet",Apartment,Good condition,5-10 years old,,
